iter	Passed	Remaining
845	4645	845
846	4652	840
847	4662	835
848	4668	830
849	4675	825
850	4682	819
851	4688	814
852	4700	809
853	4706	804
854	4713	799
855	4718	793
856	4724	788
857	4730	782
858	4735	777
859	4743	772
860	4748	766
861	4753	761
862	4760	755
863	4765	750
864	4769	744
865	4775	738
866	4780	733
867	4785	727
868	4791	722
869	4796	716
870	4801	711
871	4806	705
872	4810	699
873	4814	694
874	4820	688
875	4825	682
876	4829	677
877	4837	672
878	4842	666
879	4848	661
880	4853	655
881	4859	650
882	4864	644
883	4869	639
884	4875	633
885	4880	627
886	4885	622
887	4890	616
888	4895	611
889	4900	605
890	4905	600
891	4910	594
892	4916	589
893	4920	583
894	4925	577
895	4930	572
896	4934	566
897	4939	561
898	4944	555
899	4949	549
900	4954	544
901	4959	538
902	4964	533
903	4971	527
904	4976	522
905	4981	516
906	4986	511
907	4991	505
908	4996	500
909	5001	494
910	5006	489
911	5011	483
912	5016	478
913	5021	472
914	5028	467
915	5035	461
916	5041	456
917	5048	450
918	5057	445
919	5063	440
920	5068	434
921	5076	429
922	5082	423
923	5089	418
924	5095	413
925	5100	407
926	5107	402
927	5115	396
928	5124	391
929	5131	386
930	5138	380
931	5144	375
932	5151	369
933	5160	364
934	5167	359
935	5173	353
936	5178	348
937	5184	342
938	5191	337
939	5196	331
940	5202	326
941	5208	320
942	5215	315
943	5220	309
944	5226	304
945	5234	298
946	5240	293
947	5248	287
948	5253	282
949	5262	276
950	5270	271
951	5282	266
952	5288	260
953	5297	255
954	5304	249
955	5314	244
956	5321	239
957	5329	233
958	5336	228
959	5345	222
960	5351	217
961	5360	211
962	5367	206
963	5374	200
964	5381	195
965	5391	189
966	5397	184
967	5406	178
968	5416	173
969	5426	167
970	5434	162
971	5444	156
972	5454	151
973	5460	145
974	5469	140
975	5476	134
976	5484	129
977	5492	123
978	5498	117
979	5507	112
980	5512	106
981	5523	101
982	5529	95
983	5541	90
984	5558	84
985	5577	79
986	5590	73
987	5602	68
988	5610	62
989	5620	56
990	5634	51
991	5650	45
992	5661	39
993	5671	34
994	5687	28
995	5702	22
996	5714	17
997	5721	11
998	5730	5
999	5736	0
